week_start,category,revenue,revenue_winsor,profit,n_orders,avg_basket,avg_margin,avg_unit_price,total_quantity,n_anomalies,lag_1,lag_2,lag_4,lag_8,lag_12,lag_52,ma_4,ma_8,ma_12,std_4,wow_change,mom_change,yoy_change,rolling_sum_4,category_encoded,cat_Clothing & Apparel,cat_Electronics,cat_Home & Furniture,category_target_enc,revenue_robust,profit_robust,n_orders_robust,avg_basket_robust,avg_unit_price_robust,total_quantity_robust,lag_1_robust,lag_4_robust,ma_4_robust,ma_8_robust,revenue_std,profit_std,n_orders_std,avg_basket_std,avg_unit_price_std,total_quantity_std,lag_1_std,lag_4_std,ma_4_std,ma_8_std
2022-12-26,Accessories,8406.54,8406.54,3079.42,29,289.88068965517243,0.3811343706179349,153.53655172413795,53,0,,,,,,,,,,,,,,,0,False,False,False,89904.48566037737,,,,,,,,,,,,,,,,,,,,
2023-01-02,Accessories,62205.12,62205.12,21397.9,213,292.04281690140846,0.3458759619197969,155.6155399061033,388,0,8406.54,,,,,,8406.54,8406.54,8406.54,,6.399610303406633,,,8406.54,0,False,False,False,89904.48566037737,,,,,,,,,,,,,,,,,,,,
2023-01-09,Accessories,66143.62,66143.62,22496.06,262,252.45656488549616,0.34801335278673984,142.71522900763358,458,0,62205.12,8406.54,,,,,35305.83,35305.83,35305.83,38041.34073620698,0.06331472393269233,,,70611.66,0,False,False,False,89904.48566037737,,,,,,,,,,,,,,,,,,,,
2023-01-16,Accessories,72536.87,72536.87,24781.77,262,276.8582824427481,0.340711483100951,149.5916030534351,483,0,66143.62,62205.12,,,,,45585.09333333333,45585.09333333333,45585.09333333333,32257.73653764525,0.0966570925510275,,,136755.28,0,False,False,False,89904.48566037737,,,,,,,,,,,,,,,,,,,,
2023-01-23,Accessories,59609.28,59609.28,19869.11,227,262.5959471365639,0.3362907530956282,149.54594713656388,395,0,72536.87,66143.62,8406.54,,,,52323.0375,52323.0375,52323.0375,29585.59239552069,-0.17822095163466523,6.090822145615198,,209292.15,0,False,False,False,89904.48566037737,-0.9356777440643126,-1.2464154533234841,-0.6804374240583232,-0.6419208979096184,-0.67925081750642,-0.675603217158177,-0.8970873287524923,-1.1768775367732918,-1.0513556268008664,-1.010894301622739,-1.0570087456090447,-1.093490900554605,-0.9030056337643082,-1.2795748482441205,-1.2535352512599145,-0.9200674303566222,-1.0057531717827044,-1.2647157694775355,-1.114759463131172,-1.1538339880781654
2023-01-30,Accessories,50487.840000000004,50487.840000000004,16883.65,173,291.83722543352604,0.33250213535054396,155.60687861271677,323,0,59609.28,72536.87,62205.12,,,,65123.722499999996,53780.286,53780.286,5625.011508316389,-0.15302046929605584,-0.18836520209268948,,260494.88999999998,0,False,False,False,89904.48566037737,-0.9788406538418217,-1.349298615530069,-0.9428918590522479,-0.5905050087093964,-0.6608275952352691,-0.868632707774799,-0.9580307549430744,-0.9176161272081849,-0.9895044465961277,-1.004091171969212,-1.0965304753709537,-1.1621045800778373,-1.1171193697798836,-1.1827538828457422,-1.219544828996967,-1.082863553991035,-1.0618342366026003,-1.0264668834870292,-1.057068720945141,-1.1467969827702564
2023-02-06,Accessories,43927.51,43927.51,14368.26,150,292.8500666666667,0.33404807114190177,157.1518,279,0,50487.840000000004,59609.28,66143.62,,,,62194.4025,53231.545000000006,53231.545000000006,9421.419156320972,-0.12993881298942478,-0.3358768389150759,,248777.61,0,False,False,False,89904.48566037737,-1.0098843193048062,-1.435982502563498,-1.054678007290401,-0.5887240970785261,-0.6561315464148261,-0.9865951742627346,-1.0010311753920385,-0.8986360526119377,-1.003658525006568,-1.0066529561599016,-1.1249553281802627,-1.2199148214932118,-1.2083159610457768,-1.1794002583908856,-1.210880726701234,-1.182350073989843,-1.1014038754827624,-1.009025099011052,-1.0702707210646958,-1.149446835097891
2023-02-13,Accessories,49461.659999999996,49461.659999999996,16271.99,177,279.444406779661,0.3357522089021355,152.05559322033898,333,0,43927.51,50487.840000000004,72536.87,,,,56640.375,51902.397142857146,51902.397142857146,12396.015134153666,0.12598369450032543,-0.31811697968219477,,226561.5,0,False,False,False,89904.48566037737,-0.983696566368296,-1.3703772817976725,-0.9234507897934386,-0.6122957041883887,-0.6716223254495094,-0.8418230563002681,-1.0319579751390031,-0.8678262615969682,-1.0304948353887524,-1.0128580510362046,-1.1009767479602681,-1.1761621267263207,-1.101259093037989,-1.223787816242522,-1.2394608584947593,-1.0602529812640333,-1.1298631855297168,-0.9807123686312018,-1.095301879053243,-1.1558652465944275
2023-02-20,Accessories,56491.24,56491.24,19786.57,184,307.01760869565214,0.34668781372761187,160.87233695652174,351,0,49461.659999999996,43927.51,59609.28,8406.54,,,50871.5725,51597.305,51597.305,6498.78553394595,0.1421217969635471,-0.05230796278700234,,203486.29,0,False,False,False,89904.48566037737,-0.9504323967510226,-1.249259898135517,-0.8894289185905225,-0.5638128478573359,-0.6448223475585573,-0.7935656836461126,-1.0058688075483995,-0.9301257722100694,-1.0583689095490842,-1.014282366384019,-1.0705187105122642,-1.0953878856449588,-1.0735036087396737,-1.132490028180089,-1.190015514366356,-1.01955395035543,-1.1058555379424226,-1.0379626513717872,-1.1213009953309758,-1.1573385265660225
2023-02-27,Accessories,65356.06,65356.06,22250.38,241,271.1869709543568,0.34261120031127257,146.9895020746888,440,0,56491.24,49461.659999999996,50487.840000000004,62205.12,,,50092.0625,57607.8925,52141.07555555555,5147.9843091989405,0.15692379915894916,0.2944911091462814,,200368.25,0,False,False,False,89904.48566037737,-0.9084838200072345,-1.1643535306490305,-0.6123936816524909,-0.6268150217489993,-0.6870215629412135,-0.5549597855227882,-0.9727298628664602,-0.9740830177668025,-1.062135396536413,-0.9862220828727524,-1.0321088738605988,-1.0387630875414384,-0.8474946651676775,-1.251129059679344,-1.2678720982424376,-0.8183198530851141,-1.075360578585215,-1.07835726622276,-1.1248141284516981,-1.1283135962667963
2023-03-06,Accessories,54380.02,54380.02,18884.49,202,269.2080198019802,0.3471065474915163,146.22678217821783,366,0,65356.06,56491.24,43927.51,66143.62,,,53809.1175,58001.76,53462.574,9256.92921908908,-0.16794219235370067,0.2379490665416728,,215236.47,0,False,False,False,89904.48566037737,-0.9604227489739691,-1.280346847203103,-0.8019441069258809,-0.6302946758239656,-0.6893399785574602,-0.7533512064343163,-0.930939204022639,-1.0056979860989081,-1.0441750890500618,-0.9843833219004059,-1.079666286586649,-1.1161200435115244,-1.0021323634011485,-1.2576815762657767,-1.2721495218449654,-0.9856380912649273,-1.0369041806768104,-1.1074099162040438,-1.1080619263862386,-1.1264116230013492
2023-03-13,Accessories,62340.34,62340.34,20624.17,229,272.22855895196506,0.3335292142611701,147.08489082969433,421,0,54380.02,65356.06,49461.659999999996,72536.87,,,56422.244999999995,56531.31,53545.97818181818,6644.2515820595,0.14638317529121903,0.26037702737837765,,225688.97999999998,0,False,False,False,89904.48566037737,-0.9227542915856508,-1.2203950208086611,-0.6707168894289186,-0.6249835637486536,-0.6867316127507931,-0.6058981233243967,-0.9826826058171635,-0.9790282946359601,-1.0315488100735495,-0.9912480824398943,-1.0451755026908696,-1.0761376468312887,-0.895075495393361,-1.2476802516466845,-1.267337146795695,-0.8612799412664175,-1.0845192435544058,-1.0829017401071215,-1.0962849578176248,-1.1335123779206475
2023-03-20,Accessories,68835.54,68835.54,23232.29,249,276.4479518072289,0.3391066501493558,154.74421686746987,440,0,62340.34,54380.02,56491.24,59609.28,8406.54,,59641.91499999999,55256.743749999994,54278.84166666667,5084.199134190179,0.10418935796628626,0.21851706565478102,,238567.65999999997,0,False,False,False,89904.48566037737,-0.8920188231084283,-1.1305155271915173,-0.5735115431348724,-0.6175644682722089,-0.6634498009374841,-0.5549597855227882,-0.9451559535661704,-0.9451519577614426,-1.015991799697168,-0.9971983643930132,-1.0170328476770174,-1.0161962274727532,-0.8157741116838886,-1.2337093956022651,-1.2243827383358867,-0.8183198530851141,-1.049986649164646,-1.0517710001511387,-1.0817743943677705,-1.1396672166228536
2023-03-27,Accessories,71253.45,71253.45,23428.61,256,278.3337890625,0.3346354316792154,150.04609375,477,0,68835.54,62340.34,65356.06,50487.840000000004,62205.12,,62727.99,56410.026249999995,59314.59166666667,6165.706084756245,0.03512589572189029,0.09023478465501134,,250911.96,0,False,False,False,89904.48566037737,-0.8805772052081693,-1.1237500631074577,-0.5394896719319563,-0.6142485393862701,-0.6777305376181304,-0.45576407506702415,-0.9145361905791738,-0.9024313928554366,-1.001080302308525,-0.9918142927163955,-1.00655643325028,-1.0116842803811823,-0.7880186273855732,-1.227465188978147,-1.2507303697576297,-0.7346607339952075,-1.0218098789995813,-1.0125128359113695,-1.0678659232826875,-1.1340980531795435
2023-04-03,Accessories,65416.92,65416.92,22576.79,244,268.102131147541,0.34966791525783003,150.76561475409835,435,0,71253.45,68835.54,54380.02,43927.51,66143.62,,64202.337499999994,59005.72749999999,60068.619166666664,7552.697280982376,-0.08191224424922583,0.20295873374081141,,256809.34999999998,0,False,False,False,89904.48566037737,-0.9081958287811717,-1.1531049816897911,-0.5978128797083839,-0.6322391957572934,-0.675543432312713,-0.5683646112600537,-0.9031376453266965,-0.9553261644617318,-0.9939564544123457,-0.9796963237182654,-1.0318451772871073,-1.0312613319884656,-0.8355994576112566,-1.2613432905745194,-1.2466952106649078,-0.8296251394486149,-1.0113207648306854,-1.0611206114806735,-1.0612212631324596,-1.1215634968056676
2023-04-10,Accessories,70205.45,70205.45,23221.62,249,281.94959839357426,0.3361961461310317,152.97995983935743,446,0,65416.92,71253.45,62340.34,49461.659999999996,72536.87,,66961.5625,61691.90375,60008.06083333333,3901.8674089242586,0.07320017512288879,0.12616405364487915,,267846.25,0,False,False,False,89904.48566037737,-0.8855363705863146,-1.1308832304401775,-0.5735115431348724,-0.6078907444209605,-0.6688125573884095,-0.5388739946380697,-0.9306522969565919,-0.91696448681542,-0.9806242520575169,-0.9671559743537097,-1.011097248383689,-1.0164414519810412,-0.8157741116838886,-1.2154928618255598,-1.2342769009083994,-0.804753509448913,-1.036640164444478,-1.0258680570056677,-1.048785855331373,-1.108592039618215
2023-04-17,Accessories,68195.25,68195.25,22907.88,235,290.19255319148937,0.337007460962656,151.15991489361704,445,0,70205.45,65416.92,68835.54,56491.24,59609.28,,68927.84,64284.877499999995,59813.775833333326,2541.37939713856,-0.028633104694863354,-0.00930173570222581,,275711.36,0,False,False,False,89904.48566037737,-0.8950486933374098,-1.1416951533300146,-0.6415552855407047,-0.5933968893210598,-0.6743448906132266,-0.5415549597855228,-0.9080781416332572,-0.8856633872806872,-0.9711234648742512,-0.9550507386238793,-1.0198071210756532,-1.0236520177945567,-0.8712850802805192,-1.1881995666021343,-1.2444839287368228,-0.8070145667216132,-1.0158670844410111,-0.997103837498656,-1.0399241414216336,-1.0960706542525627
2023-04-24,Accessories,64133.23,64133.23,22090.57,231,277.6330303030303,0.339412190603206,151.31826839826837,415,0,68195.25,70205.45,71253.45,65356.06,50487.840000000004,,68767.7675,65747.87875,60529.27333333334,2569.1440674328373,-0.05956455911518754,-0.09992807365818768,,275071.07,0,False,False,False,89904.48566037737,-0.914270285846316,-1.1698608086404405,-0.660996354799514,-0.6154807062692317,-0.6738635484589577,-0.6219839142091153,-0.917554654682349,-0.8740112069666053,-0.9718969135641706,-0.9482207523950228,-1.0374071992132574,-1.0424359393380151,-0.8871453570224137,-1.2297854753525723,-1.2435958635093747,-0.8748462849026185,-1.0245875154340234,-0.986396038818369,-1.0406455638555558,-1.0890058691032023
2023-05-01,Accessories,70096.18,70096.18,22992.25,247,283.79020242914976,0.3334398035558994,159.46975708502023,447,0,64133.23,68195.25,65416.92,54380.02,43927.51,,66987.7125,65595.025,61666.38916666666,2734.19341267072,0.09297754066027841,0.07152981216480381,,267950.85,0,False,False,False,89904.48566037737,-0.8860534392894348,-1.1387876441370026,-0.583232077764277,-0.6046543505740998,-0.649085725362346,-0.5361930294906166,-0.9367038863685849,-0.9021381016684548,-0.9804978987910821,-0.9489343464589576,-1.0115706976867689,-1.0217129745176832,-0.8237042500548357,-1.2093984271763372,-1.1978813485664992,-0.8024924521762128,-1.0422089287770915,-1.0122433152808739,-1.0486680012549572,-1.0897439948587504
2023-05-08,Accessories,70967.85,70967.85,24505.82,274,259.0067518248175,0.3473795308233425,146.00204379562044,483,0,70096.18,64133.23,70205.45,62340.34,49461.659999999996,,68157.5275,67559.545,63847.111666666664,2837.1789649389334,0.012435342410956007,0.010859555775228458,,272630.11,0,False,False,False,89904.48566037737,-0.8819286724142745,-1.086627887241576,-0.4520048602673147,-0.6482318965804897,-0.690023108731715,-0.43967828418230565,-0.9085932638006406,-0.8790616368705959,-0.9748455107844085,-0.9397630319803724,-1.0077938920309115,-0.9869271770472836,-0.716647382047048,-1.2914590535636505,-1.273409881338095,-0.7210943903590064,-1.0163411076698474,-0.9910371433329873,-1.0433958228074482,-1.080257392081329
2023-05-15,Accessories,66822.73,66822.73,21829.56,251,266.22601593625495,0.3336847290394313,151.18605577689243,436,0,70967.85,70096.18,68195.25,68835.54,56491.24,,68348.1275,68637.98375,65639.29416666667,3039.044037482615,-0.05840842015081493,-0.020126328446629427,,273392.51,0,False,False,False,89904.48566037737,-0.9015434964526884,-1.1788555813614083,-0.5637910085054678,-0.635538030057583,-0.6742654309947106,-0.5656836461126006,-0.904484024854515,-0.8887490168257504,-0.9739245573395715,-0.9347283665546487,-1.0257540290784264,-1.0484346318317546,-0.8078439733129413,-1.267555306482667,-1.244337327564321,-0.8273640821759148,-1.012559723686324,-0.9999393840727637,-1.0425368175697864,-1.0750496466569863
